Bin_Center,Bin_edge,Image_1,Image_2,Image_3,Image_4,Image_5,Image_6
2822.5,2820,0,0,0,41,314,303
2827.5,2825,0,0,0,40,258,287
2832.5,2830,0,0,0,34,299,283
2837.5,2835,0,0,0,34,307,253
2842.5,2840,0,0,0,37,273,256
2847.5,2845,0,0,0,36,266,254
2852.5,2850,0,0,0,38,275,277
2857.5,2855,0,0,0,36,259,287
2862.5,2860,0,0,0,40,261,271
2867.5,2865,0,0,0,42,246,263
2872.5,2870,0,0,0,36,254,270
2877.5,2875,0,0,0,38,235,272
2882.5,2880,0,0,0,28,214,269
2887.5,2885,0,0,0,33,222,272
2892.5,2890,0,0,0,33,192,299
2897.5,2895,0,0,0,35,200,269
2902.5,2900,0,0,0,23,201,299
2907.5,2905,0,0,0,37,183,272
2912.5,2910,0,0,0,46,159,270
2917.5,2915,0,0,0,37,166,313
2922.5,2920,0,0,0,35,155,295
2927.5,2925,0,0,0,40,164,283
2932.5,2930,0,0,0,37,126,265
2937.5,2935,0,0,0,34,163,285
2942.5,2940,0,0,0,34,139,285
2947.5,2945,0,0,0,39,145,275
2952.5,2950,0,0,0,32,120,339
2957.5,2955,0,0,0,52,132,328
2962.5,2960,0,0,0,53,139,293
2967.5,2965,0,0,0,41,126,321
2972.5,2970,0,0,0,32,121,320
2977.5,2975,0,0,0,48,114,266
2982.5,2980,0,0,0,43,113,329
2987.5,2985,0,0,0,49,117,279
2992.5,2990,0,0,0,37,111,333
2997.5,2995,0,0,0,41,107,310
3002.5,3000,0,0,0,36,96,300
3007.5,3005,0,0,0,45,100,305
3012.5,3010,0,0,0,37,76,310
3017.5,3015,0,0,0,36,98,342
3022.5,3020,0,0,0,26,78,311
3027.5,3025,0,0,0,19,90,323
3032.5,3030,0,0,0,29,68,285
3037.5,3035,0,0,0,17,95,298
3042.5,3040,0,0,0,22,64,303
3047.5,3045,0,0,0,31,90,300
3052.5,3050,0,0,0,14,60,315
3057.5,3055,0,0,0,15,70,327
3062.5,3060,0,0,0,16,59,298
3067.5,3065,0,0,0,15,75,286
3072.5,3070,0,0,0,11,88,289
3077.5,3075,0,0,0,7,81,285
3082.5,3080,0,0,0,6,78,305
3087.5,3085,0,0,0,4,67,300
3092.5,3090,0,0,0,4,71,320
3097.5,3095,0,0,0,4,69,319
3102.5,3100,0,0,0,2,78,334
3107.5,3105,0,0,0,4,79,343
3112.5,3110,0,0,0,3,63,378
